BrandName,ProductName,ProductPrice,ProductDescription,InventoryLevel,ProductPopularity
Nike,Air Max Running Shoes,129.99,Premium running shoes with air cushioning.,700,52,
Nike,Dri-FIT Sports T-Shirt,34.99,Moisture-wicking sports t-shirt for performance.,6,32,
Adidas,Ultraboost Running Shoes,159.99,High-performance running shoes with Boost technology.,100,60,
Adidas,Essentials Hoodie,49.99,Comfortable hoodie for casual wear.,8,27,
Gucci,Luxury Leather Bag,899.99,Elegant leather bag for the fashion-conscious.,100,65,
Gucci,Designer Sunglasses,249.99,Luxury sunglasses with UV protection.,100,15,
Puma,Running Sneakers,89.99,Comfortable running sneakers with excellent traction.,100,62,
Puma,Essential Training Shorts,29.99,Training shorts for active lifestyles.,100,82,
H&M,Casual Dress,39.99,Stylish and affordable casual dress.,100,3,
H&M,Slim-Fit Jeans,29.99,Slim-fit jeans for a modern look.,100,16,
Zara,Stylish Jacket,79.99,Trendy jacket for all occasions.,100,55,
Zara,Denim Jeans,39.99,Classic denim jeans for everyday wear.,100,90,
Levi's,Classic 501 Jeans,59.99,Iconic 501 jeans for timeless style.,100,3,
Levi's,Trucker Jacket,69.99,Classic denim jacket for a rugged look.,100,12,
Tommy Hilfiger,Polo Shirt,49.99,Preppy polo shirt with the Tommy logo.,100,20,
Tommy Hilfiger,Chino Pants,59.99,Stylish chino pants for a classic look.,100,0,
Calvin Klein,Modern Fit Suit,199.99,Sleek and modern fit suit for special occasions.,100,99,
Calvin Klein,Crew Neck T-Shirt,24.99,Essential crew neck t-shirt for everyday wear.,100,62,
Ralph Lauren,Classic Polo Shirt,69.99,Iconic polo shirt with the Ralph Lauren pony logo.,100,73,
Ralph Lauren,Cable Knit Sweater,79.99,Timeless cable knit sweater for a sophisticated look.,100,35,
Versace,Medusa Logo Shirt,129.99,Elegant shirt with the Versace Medusa logo.,100,0,
Versace,Baroque Print Dress,249.99,Extravagant dress with Versaceï¿½s iconic baroque print.,100,80,
Armani,Italian Wool Suit,299.99,High-quality wool suit for a timeless look.,100,71,
Armani,Silk Necktie,59.99,Elegant silk necktie to complete your outfit.,100,39,
Prada,Saffiano Leather Bag,399.99,Luxurious Saffiano leather bag with Prada logo.,100,81,
Prada,Cat-Eye Sunglasses,179.99,Stylish cat-eye sunglasses for a fashionable look.,100,24,
Chanel,Classic Flap Bag,349.99,Iconic Chanel flap bag for a sophisticated touch.,100,26,
Chanel,Chanel No. 5 Perfume,79.99,Timeless Chanel No. 5 perfume for a classic fragrance.,100,59,
Burberry,Burberry Check Scarf,149.99,Iconic Burberry check scarf for a stylish accessory.,100,6,
Burberry,Trench Coat,299.99,Timeless Burberry trench coat for all seasons.,100,26,
Louis Vuitton,Monogram Canvas Tote,399.99,Iconic Louis Vuitton monogram canvas tote.,100,41,
Louis Vuitton,LV Leather Belt,159.99,Luxurious Louis Vuitton leather belt with LV logo.,100,86,
Dior,Lady Dior Handbag,599.99,Elegant Lady Dior handbag with signature quilted pattern.,100,27,
Dior,Sauvage Cologne,89.99,Signature Dior Sauvage cologne for men.,100,62,
Balenciaga,Speed Trainer Sneakers,299.99,Iconic Balenciaga Speed Trainer sneakers.,100,97,
Balenciaga,Oversized Logo T-Shirt,129.99,Oversized logo t-shirt for a bold look.,100,32,
Alexander McQueen,Skull Print Scarf,149.99,Signature Alexander McQueen skull print scarf.,100,23,
Alexander McQueen,Chunky Sneakers,249.99,Chunky sneakers for a unique and edgy style.,100,37,
Fendi,Fur Shoulder Bag,499.99,Elegant fur shoulder bag with Fendi logo.,100,0,
Fendi,FF Logo Belt,199.99,Stylish FF logo belt for a fashionable touch.,100,2,
